%year	month	day	hour	minute	sea-level-height	flag1	flag2
2004	1	1	0	0	0.297	0.003	0
2004	1	1	1	0	0.302	0.002	0
2004	1	1	2	0	0.295	0.006	0
2004	1	1	3	0	0.28	0.003	0
2004	1	1	4	0	0.236	0.004	0
2004	1	1	5	0	0.192	0.003	0
2004	1	1	6	0	0.164	0.002	0
2004	1	1	7	0	0.153	0.003	0
2004	1	1	8	0	0.126	0.002	0
2004	1	1	9	0	0.094	0.002	0
2004	1	1	10	0	0.067	0.002	0
2004	1	1	11	0	0.069	0.002	0
2004	1	1	12	0	0.08	0.001	0
2004	1	1	13	0	0.1	0.002	0
2004	1	1	14	0	0.142	0.002	0
2004	1	1	15	0	0.159	0.003	0
2004	1	1	16	0	0.2	0.005	0
2004	1	1	17	0	0.218	0.003	0
2004	1	1	18	0	0.251	0.003	0
2004	1	1	19	0	0.291	0.003	0
2004	1	1	20	0	0.324	0.006	0
2004	1	1	21	0	0.344	0.005	0
2004	1	1	22	0	0.336	0.006	0
2004	1	1	23	0	0.353	0.004	0
2004	1	2	0	0	0.366	0.002	0
2004	1	2	1	0	0.349	0.002	0
2004	1	2	2	0	0.329	0.003	0
2004	1	2	3	0	0.313	0.002	0
2004	1	2	4	0	0.28	0.003	0
2004	1	2	5	0	0.213	0.004	0
2004	1	2	6	0	0.165	0.003	0
2004	1	2	7	0	0.112	0.002	0
2004	1	2	8	0	0.082	0.002	0
2004	1	2	9	0	0.061	0.004	0
2004	1	2	10	0	0.033	0.003	0
2004	1	2	11	0	0.012	0.005	0
2004	1	2	12	0	0.014	0.004	0
2004	1	2	13	0	0.059	0.002	0
2004	1	2	14	0	0.091	0.004	0
2004	1	2	15	0	0.13	0.003	0
2004	1	2	16	0	0.169	0.002	0
2004	1	2	17	0	0.213	0.003	0
2004	1	2	18	0	0.26	0.002	0
2004	1	2	19	0	0.3	0.002	0
2004	1	2	20	0	0.327	0.004	0
2004	1	2	21	0	0.378	0.007	0
2004	1	2	22	0	0.387	0.006	0
2004	1	2	23	0	0.395	0.004	0
2004	1	3	0	0	0.371	0.003	0
2004	1	3	1	0	0.377	0.003	0
2004	1	3	2	0	0.375	0.003	0
2004	1	3	3	0	0.322	0.003	0
2004	1	3	4	0	0.258	0.005	0
2004	1	3	5	0	0.207	0.006	0
2004	1	3	6	0	0.148	0.003	0
2004	1	3	7	0	0.093	0.001	0
2004	1	3	8	0	0.049	0.004	0
2004	1	3	9	0	-0.008	0.001	0
2004	1	3	10	0	-0.017	0.017	0
2004	1	3	11	0	-0.037	0.003	0
2004	1	3	12	0	-0.043	0.003	0
2004	1	3	13	0	-0.018	0.005	0
2004	1	3	14	0	0.038	0.005	0
2004	1	3	15	0	0.1	0.003	0
2004	1	3	16	0	0.136	0.005	0
2004	1	3	17	0	0.175	0.003	0
2004	1	3	18	0	0.218	0.005	0
2004	1	3	19	0	0.265	0.002	0
2004	1	3	20	0	0.318	0.003	0
2004	1	3	21	0	0.355	0.003	0
2004	1	3	22	0	0.395	0.007	0
2004	1	3	23	0	0.409	0.002	0
2004	1	4	0	0	0.43	0.004	0
2004	1	4	1	0	0.425	0.002	0
2004	1	4	2	0	0.417	0.005	0
2004	1	4	3	0	0.392	0.003	0
2004	1	4	4	0	0.339	0.002	0
2004	1	4	5	0	0.264	0.005	0
2004	1	4	6	0	0.207	0.006	0
2004	1	4	7	0	0.126	0.006	0
2004	1	4	8	0	0.09	0.006	0
2004	1	4	9	0	0.045	0.003	0
2004	1	4	10	0	-0.002	0.002	0
2004	1	4	11	0	-0.034	0.001	0
2004	1	4	12	0	-0.026	0.002	0
2004	1	4	13	0	-0.02	0.008	0
2004	1	4	14	0	0.044	0.003	0
2004	1	4	15	0	0.097	0.003	0
2004	1	4	16	0	0.122	0.005	0
2004	1	4	17	0	0.174	0.005	0
